Order_ID,Order_Date,Product,Category,Subcategory,Customer_ID,Region,City,Channel,Unit_Price,Quantity,Discount,Sales,COGS,Profit,Payment_Method
ORD202400207,2024-01-01,Football - Sports,Sports,Football,CUST4175,East,Kolkata,Online,1908,1,0.18,1564.56,1478.72,85.84,UPI
ORD202401073,2024-01-02,Smartphone - Electronics,Electronics,Smartphone,CUST5302,South,Hyderabad,Store,11977,1,0.35,7785.05,7787.66,-2.61,UPI
ORD202400103,2024-01-02,Jacket - Fashion,Fashion,Jacket,CUST3169,South,Hyderabad,Mobile App,1382,1,0.17,1147.06,898.6,248.46,Debit Card
ORD202400415,2024-01-02,Sunscreen - Beauty,Beauty,Sunscreen,CUST5555,East,Patna,Mobile App,736,1,0.18,603.52,457.23,146.29,Credit Card
ORD202400842,2024-01-02,Tennis Racket - Sports,Sports,Tennis Racket,CUST1427,South,Kochi,Online,2426,2,0.15,4124.2,3314.73,809.47,UPI
ORD202400123,2024-01-02,Perfume - Beauty,Beauty,Perfume,CUST3359,East,Kolkata,Online,894,1,0.09,813.54,694.87,118.67,Debit Card
ORD202400226,2024-01-03,Jeans - Fashion,Fashion,Jeans,CUST5675,North,Chandigarh,Mobile App,1141,1,0.15,969.85,958.62,11.23,Cash on Delivery
ORD202400764,2024-01-04,T-Shirt - Fashion,Fashion,T-Shirt,CUST5536,South,Kochi,Mobile App,1134,1,0.35,737.1,949.36,-212.26,Credit Card
ORD202401026,2024-01-04,Tennis Racket - Sports,Sports,Tennis Racket,CUST3732,North,Jaipur,Online,2461,3,0.07,6866.19,6191.84,674.35,UPI
ORD202400074,2024-01-04,Football - Sports,Sports,Football,CUST5683,North,Jaipur,Store,1932,3,0.16,4868.64,4064.8,803.84,UPI
ORD202400649,2024-01-04,Lipstick - Beauty,Beauty,Lipstick,CUST2230,West,Ahmedabad,Online,772,1,0.1,694.8,604.45,90.35,UPI
ORD202400853,2024-01-06,Laptop - Electronics,Electronics,Laptop,CUST3927,North,Chandigarh,Online,11289,3,0.24,25738.92,26314.86,-575.94,Credit Card
ORD202400777,2024-01-06,T-Shirt - Fashion,Fashion,T-Shirt,CUST2203,East,Bhubaneswar,Online,1107,1,0.09,1007.37,753.64,253.73,Debit Card
ORD202400500,2024-01-07,Mixer Grinder - Home,Home,Mixer Grinder,CUST5055,West,Ahmedabad,Mobile App,7798,2,0.18,12788.72,10306.88,2481.84,UPI
ORD202401085,2024-01-09,Shampoo - Beauty,Beauty,Shampoo,CUST4965,West,Mumbai,Mobile App,715,1,0.04,686.4,523.6,162.8,Debit Card
ORD202400035,2024-01-09,Jeans - Fashion,Fashion,Jeans,CUST2540,West,Surat,Online,1828,1,0.2,1462.4,1419.55,42.85,Credit Card
ORD202400412,2024-01-09,Tablet - Electronics,Electronics,Tablet,CUST1546,South,Kochi,Mobile App,13999,1,0.16,11759.16,10733.48,1025.68,UPI
ORD202401148,2024-01-10,Smartphone - Electronics,Electronics,Smartphone,CUST2912,West,Mumbai,Online,12102,2,0.04,23235.84,20280.1,2955.74,Debit Card
ORD202400740,2024-01-11,Vacuum Cleaner - Home,Home,Vacuum Cleaner,CUST3366,West,Ahmedabad,Store,7011,4,0.35,18228.6,21207.87,-2979.27,Credit Card
ORD202400759,2024-01-11,Jacket - Fashion,Fashion,Jacket,CUST1666,North,Jaipur,Online,1063,2,0.35,1381.9,1329.03,52.87,Debit Card
ORD202401187,2024-01-11,Tablet - Electronics,Electronics,Tablet,CUST3675,North,Delhi,Online,11562,1,0.28,8324.64,9566.99,-1242.35,UPI
ORD202400425,2024-01-11,Sunscreen - Beauty,Beauty,Sunscreen,CUST1254,West,Mumbai,Mobile App,602,3,0.3,1264.2,1237.95,26.25,Credit Card
ORD202400324,2024-01-12,Perfume - Beauty,Beauty,Perfume,CUST3851,East,Guwahati,Mobile App,730,1,0.12,642.4,454.41,187.99,Credit Card
ORD202400798,2024-01-13,Yoga Mat - Sports,Sports,Yoga Mat,CUST5098,East,Kolkata,Mobile App,2614,3,0.11,6979.38,6209.26,770.12,Net Banking
ORD202400596,2024-01-13,Mixer Grinder - Home,Home,Mixer Grinder,CUST4258,East,Guwahati,Online,5642,4,0.21,17828.72,13800.72,4028.0,UPI
ORD202400760,2024-01-13,Sneakers - Fashion,Fashion,Sneakers,CUST5374,West,Ahmedabad,Mobile App,1498,2,0.05,2846.2,2421.22,424.98,UPI
ORD202400968,2024-01-14,Water Purifier - Home,Home,Water Purifier,CUST1933,North,Jaipur,Online,7751,3,0.07,21625.29,19159.62,2465.67,UPI
ORD202400003,2024-01-14,Shampoo - Beauty,Beauty,Shampoo,CUST4943,West,Ahmedabad,Mobile App,492,3,0.2,1180.8,981.09,199.71,Debit Card
ORD202401078,2024-01-15,Air Cooler - Home,Home,Air Cooler,CUST2310,North,Chandigarh,Online,5741,1,0.09,5224.31,4012.49,1211.82,UPI
ORD202400051,2024-01-15,Sunscreen - Beauty,Beauty,Sunscreen,CUST1066,West,Mumbai,Online,886,1,0.3,620.2,636.58,-16.38,Credit Card
ORD202400952,2024-01-16,Jacket - Fashion,Fashion,Jacket,CUST1798,West,Mumbai,Mobile App,1629,1,0.17,1352.07,1359.3,-7.23,UPI
ORD202401020,2024-01-16,Dress - Fashion,Fashion,Dress,CUST5703,South,Hyderabad,Online,1125,2,0.05,2137.5,1669.24,468.26,Credit Card
